debugJanXI:debugDLxhw,27,1529635552771,"{""rt"": 193, ""hit"": true, ""color"": ""blue"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""RED"", ""response"": ""blue""}"
debugJanXI:debugDLxhw,28,1529635552965,"{""rt"": 193, ""hit"": false, ""color"": ""green"", ""relation"": ""unrelated"", ""phase"": ""TEST"", ""word"": ""MONKEY"", ""response"": ""blue""}"
debugJanXI:debugDLxhw,29,1529635553146,"{""rt"": 181, ""hit"": true, ""color"": ""blue"", ""relation"": ""unrelated"", ""phase"": ""TEST"", ""word"": ""ZAMBONI"", ""response"": ""blue""}"
debugJanXI:debugDLxhw,30,1529635553147,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugJanXI:debugDLxhw,31,1529635554555,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugV1Z386:debug7FRKD7,0,1529779879248,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugV1Z386:debug7FRKD7,1,1529779880077,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 826, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
debugV1Z386:debug7FRKD7,2,1529779881543,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 1465, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
debugV1Z386:debug7FRKD7,3,1529779883968,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 2424, ""action"": ""NextPage"", ""template"": ""instructions/instruct-3.html""}"
debugV1Z386:debug7FRKD7,4,1529779885121,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 3, ""viewTime"": 1151, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugP81I27:debugSNBDQ9,0,1529784756439,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugP81I27:debugSNBDQ9,1,1529784758478,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 2036, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
debugP81I27:debugSNBDQ9,2,1529784759905,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 1425, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
debugP81I27:debugSNBDQ9,3,1529784760424,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 518, ""action"": ""NextPage"", ""template"": ""instructions/instruct-3.html""}"
debugP81I27:debugSNBDQ9,4,1529784761545,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 3, ""viewTime"": 1120, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
